"","EntryID.uniprot","Symbol","Synonym","Reviewed","EntryName","ProteinName","Keywords","Location","AntibodyName"
"1","P04217","A1BG",NA,"reviewed","A1BG_HUMAN","Alpha-1B-glycoprotein (Alpha-1-B glycoprotein)","Alternative splicing;Direct protein sequencing;Disulfide bond;Glycoprotein;Immunoglobulin domain;Reference proteome;Repeat;Secreted;Signal","SUBCELLULAR LOCATION: Secreted.",NA
"2","Q9NQ94","A1CF","ACF ASP","reviewed","A1CF_HUMAN","APOBEC1 complementation factor (APOBEC1-stimulating protein)","3D-structure;Alternative splicing;Cytoplasm;Endoplasmic reticulum;mRNA processing;Nucleus;Phosphoprotein;Reference proteome;Repeat;RNA-binding","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12881431, ECO:0000269|PubMed:24916387}. Endoplasmic reticulum {ECO:0000250}. Cytoplasm {ECO:0000269|PubMed:12881431}. Note=Predominantly nuclear where it localizes to heterochromatin. Also cytoplasmic where it is found at the outer surface of the endoplasmic reticulum (By similarity). Shuttles between the nucleus and cytoplasm. May be transported into the nucleus by the nuclear import protein TNPO2/TRN2 or by APOBEC1. {ECO:0000250}.",NA
"3","P01023","A2M","CPAMD5","reviewed","A2MG_HUMAN","Alpha-2-macroglobulin (Alpha-2-M) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5)","3D-structure;Bait region;Direct protein sequencing;Disulfide bond;Glycoprotein;Isopeptide bond;Protease inhibitor;Reference proteome;Secreted;Serine protease inhibitor;Signal;Thioester bond","SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:6203908}.",NA
"4","A8K2U0","A2ML1","CPAMD9","reviewed","A2ML1_HUMAN","Alpha-2-macroglobulin-like protein 1 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 9)","3D-structure;Alternative splicing;Bait region;Disulfide bond;Glycoprotein;Protease inhibitor;Reference proteome;Secreted;Serine protease inhibitor;Signal;Thioester bond","SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:16298998}.",NA
"5","U3KPV4","A3GALT2","A3GALT2P IGBS3S","reviewed","A3LT2_HUMAN","Alpha-1,3-galactosyltransferase 2 (EC 2.4.1.87) (Isoglobotriaosylceramide synthase) (iGb3 synthase) (iGb3S)","Glycoprotein;Glycosyltransferase;Golgi apparatus;Lipid metabolism;Manganese;Membrane;Metal-binding;Reference proteome;Signal-anchor;Transferase;Transmembrane;Transmembrane helix","SUBCELLULAR LOCATION: Golgi apparatus, Golgi stack membrane {ECO:0000250|UniProtKB:A0A4Z3}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:A0A4Z3}. Note=Also found in numerous large vesicles throughout the cytoplasm of the soma. {ECO:0000250|UniProtKB:A0A4Z3}.",NA
"6","Q9NPC4","A4GALT","A14GALT A4GALT1","reviewed","A4GAT_HUMAN","Lactosylceramide 4-alpha-galactosyltransferase (EC 2.4.1.228) (Alpha-1,4-N-acetylglucosaminyltransferase) (Alpha-1,4-galactosyltransferase) (Alpha4Gal-T1) (CD77 synthase) (Globotriaosylceramide synthase) (Gb3 synthase) (P1/Pk synthase) (UDP-galactose:beta-D-galactosyl-beta1-R 4-alpha-D-galactosyltransferase)","Glycoprotein;Glycosyltransferase;Golgi apparatus;Lipid biosynthesis;Lipid metabolism;Membrane;Reference proteome;Signal-anchor;Transferase;Transmembrane;Transmembrane helix","SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.",NA
"7","Q9UNA3","A4GNT",NA,"reviewed","A4GCT_HUMAN","Alpha-1,4-N-acetylglucosaminyltransferase (Alpha4GnT) (EC 2.4.1.-)","Glycoprotein;Glycosyltransferase;Golgi apparatus;Membrane;Reference proteome;Signal-anchor;Transferase;Transmembrane;Transmembrane helix","SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000255}.",NA
"8","Q9NRG9","AAAS","ADRACALA","reviewed","AAAS_HUMAN","Aladin (Adracalin)","3D-structure;Acetylation;Alternative splicing;Cytoplasm;Cytoskeleton;Disease variant;mRNA transport;Nuclear pore complex;Nucleus;Phosphoprotein;Protein transport;Reference proteome;Repeat;Translocation;Transport;WD repeat","SUBCELLULAR LOCATION: Nucleus, nuclear pore complex {ECO:0000269|PubMed:19782045}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000269|PubMed:26246606}. Nucleus envelope {ECO:0000269|PubMed:27754849}. Note=In metaphase cells localizes within the spindle with some accumulation around spindle poles, with the highest concentration between the centrosome and metaphase plate (PubMed:26246606). The localization to the spindle is microtubule-mediated (PubMed:26246606). {ECO:0000269|PubMed:26246606}.",NA
"9","Q86V21","AACS","ACSF1","reviewed","AACS_HUMAN","Acetoacetyl-CoA synthetase (EC 6.2.1.16) (Acyl-CoA synthetase family member 1) (Protein sur-5 homolog)","Alternative splicing;ATP-binding;Cytoplasm;Fatty acid metabolism;Ligase;Lipid metabolism;Nucleotide-binding;Reference proteome","SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q9JMI1}.",NA
"10","P22760","AADAC","DAC","reviewed","AAAD_HUMAN","Arylacetamide deacetylase (EC 3.1.1.3)","Direct protein sequencing;Disulfide bond;Endoplasmic reticulum;Glycoprotein;Hydrolase;Lipid metabolism;Membrane;Microsome;Reference proteome;Signal-anchor;Transmembrane;Transmembrane helix","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Single-pass type II membrane protein. Microsome membrane; Single-pass type II membrane protein.",NA
