"","cofactor1","cofactor2","cofactor3","cofactor4","cofactor5","cofactor6","cofactor7","cofactor8","cofactor9","cofactor10","cofactor11","cofactor12","cofactor13","cofactor14","cofactor15","cofactor16"
"ACTIVIN antagonist","Fst","","","","","","","","","","","","","","",""
"ACTIVIN inhibition receptor","Bambi","","","","","","","","","","","","","","",""
"ANGPT inhibition receptor 1","Tie1","","","","","","","","","","","","","","",""
"ANGPT inhibition receptor 2","Ptprb","","","","","","","","","","","","","","",""
"BMP antagonist","Nbl1","Grem1","Grem2","Chrd","Nog","Bmp3","Lefty1","Lefty2","","","","","","","",""
"BMP inhibition receptor","Bambi","","","","","","","","","","","","","","",""
"BMP10 activation receptor","Eng","","","","","","","","","","","","","","",""
"FGF activation receptor 2","Klb","","","","","","","","","","","","","","",""
"FGF activation receptor 3","Kl","","","","","","","","","","","","","","",""
"FGF inhibition receptor","Il17rd","","","","","","","","","","","","","","",""
"GHRL antagonist","Leap2","","","","","","","","","","","","","","",""
"HH activation receptor","Boc","Gas1","Lrp2","Cdon","","","","","","","","","","","",""
"HH inhibition receptor","Hhip","","","","","","","","","","","","","","",""
"IGF antagonist","Igfbp1","Igfbp2","Igfbp3","Igfbp4","Igfbp5","Igfbp6","","","","","","","","","",""
"IL antagonist","Il1rn","","","","","","","","","","","","","","",""
"IL36 antagonist","Il36rn","","","","","","","","","","","","","","",""
"IL1 inhibition receptor","Il1r2","","","","","","","","","","","","","","",""
"INSULIN agonist","Gpc4","","","","","","","","","","","","","","",""
"INSULIN inhibition receptor","Ptprf","Enpp1","","","","","","","","","","","","","",""
"ncWNT activation receptor","Ryk","Ror2","Ror1","","","","","","","","","","","","",""
"NGFR activation receptor","Ngfr","","","","","","","","","","","","","","",""
"NODAL agonist","Fst","","","","","","","","","","","","","","",""
"NODAL antagonist","Lefty1","Lefty2","Inhba","Inhbb","Inhbc","Inhbe","","","","","","","","","",""
"PDGF antagonist","Sparc","","","","","","","","","","","","","","",""
"POMC antagonist","Agrp","","","","","","","","","","","","","","",""
"TGFb agonist","Fst","Thbs1","","","","","","","","","","","","","",""
"TGFb antagonist","Lefty1","Lefty2","Inhba","Inhbb","Inhbc","Inhbe","Fmod","Dcn","Ltbp1","Emilin1","","","","","",""
"TGFb inhibition receptor","Bambi","","","","","","","","","","","","","","",""
"VEGF activation receptor","Nrp1","Nrp2","","","","","","","","","","","","","",""
"WNT activation receptor","Bambi","","","","","","","","","","","","","","",""
"WNT agonist","Porcn","Rspo1","Rspo2","Rspo3","Rspo4","","","","","","","","","","",""
"WNT antagonist","Dkk1","Dkk2","Dkk4","Serpinf1","Sost","Wif1","Cer1","Notum","Sfrp1","Sfrp2","Sfrp4","Sfrp5","Igfbp4","Draxin","Sostdc1","Frzb"
"WNT inhibition receptor","Znrf3","Rnf43","Apcdd1","","","","","","","","","","","","",""
