"","cofactor1","cofactor2","cofactor3","cofactor4","cofactor5"
"ACTIVIN antagonist_1","fsta","","","",""
"ACTIVIN antagonist_2","fstb","","","",""
"ACTIVIN inhibition receptor_1","bambia","","","",""
"ACTIVIN inhibition receptor_2","bambib","","","",""
"ANGPT inhibition receptor_1","tie1","","","",""
"ANGPT inhibition receptor_2","ptprb","","","",""
"BMP inhibition receptor_1","bambia","","","",""
"BMP inhibition receptor_2","bambib","","","",""
"FGF activation receptor_1","klb","","","",""
"FGF activation receptor_2","kl","","","",""
"FGF inhibition receptor","il17rd","","","",""
"GHRL antagonist","si:dkey-22f5.9","","","",""
"HH activation receptor_1","boc","gas1b","lrp2a","cdon",""
"HH activation receptor_2","boc","gas1b","lrp2bp","cdon",""
"HH activation receptor_3","boc","gas1a","lrp2a","cdon",""
"HH activation receptor_4","boc","gas1a","lrp2bp","cdon",""
"HH inhibition receptor","hhip","","","",""
"IGF antagonist_1","igfbp1b","igfbp2b","igfbp3","Igfbp5","Igfbp6"
"IGF antagonist_2","igfbp1b","igfbp2a","igfbp3","Igfbp5","Igfbp6"
"IGF antagonist_3","igfbp1a","igfbp2b","igfbp3","Igfbp5","Igfbp6"
"IGF antagonist_4","igfbp1a","igfbp2a","igfbp3","Igfbp5","Igfbp6"
"IL antagonist_1","il1fma","","","",""
"IL antagonist_2","il1b","","","",""
"INSULIN agonist","gpc4","","","",""
"INSULIN inhibition receptor_1","ptprfb","enpp1","","",""
"INSULIN inhibition receptor_2","ptprfa","enpp1","","",""
"ncWNT activation receptor","ryk","ror2","ror1","",""
"NGFR activation receptor_1","ngfrb","","","",""
"NGFR activation receptor_2","ngfra","","","",""
"NODAL agonist_1","fsta","","","",""
"NODAL agonist_2","fstb","","","",""
"NODAL antagonist_1","lft2","lft2","inhbab","inhbb",""
"NODAL antagonist_2","lft2","lft2","inhbaa","inhbb",""
"NODAL antagonist_3","lft2","lft1","inhbab","inhbb",""
"NODAL antagonist_4","lft2","lft1","inhbaa","inhbb",""
"NODAL antagonist_5","lft1","lft2","inhbab","inhbb",""
"NODAL antagonist_6","lft1","lft2","inhbaa","inhbb",""
"NODAL antagonist_7","lft1","lft1","inhbab","inhbb",""
"NODAL antagonist_8","lft1","lft1","inhbaa","inhbb",""
"PDGF antagonist","sparc","","","",""
"POMC antagonist","agrp","","","",""
"TGFb agonist_1","fsta","thbs1b","","",""
"TGFb agonist_2","fsta","thbs1a","","",""
"TGFb agonist_3","fstb","thbs1b","","",""
"TGFb agonist_4","fstb","thbs1a","","",""
"TGFb antagonist_1","lft2","lft2","inhbab","inhbb","Fmod"
"TGFb antagonist_2","lft2","lft2","inhbaa","inhbb","Fmod"
"TGFb antagonist_3","lft2","lft1","inhbab","inhbb","Fmod"
"TGFb antagonist_4","lft2","lft1","inhbaa","inhbb","Fmod"
"TGFb antagonist_5","lft1","lft2","inhbab","inhbb","Fmod"
"TGFb antagonist_6","lft1","lft2","inhbaa","inhbb","Fmod"
"TGFb antagonist_7","lft1","lft1","inhbab","inhbb","Fmod"
"TGFb antagonist_8","lft1","lft1","inhbaa","inhbb","Fmod"
"TGFb inhibition receptor_1","bambia","","","",""
"TGFb inhibition receptor_2","bambib","","","",""
"VEGF activation receptor_1","nrp1a","nrp2a","","",""
"VEGF activation receptor_2","nrp1a","nrp2b","","",""
"WNT activation receptor_3","bambia","","","",""
"WNT activation receptor_4","bambib","","","",""
"WNT agonist_1","porcnl","rspo1","rspo2","rspo3","rspo4"
"WNT agonist_2","porcn","rspo1","rspo2","rspo3","rspo4"
"WNT inhibition receptor","znrf3","","","",""
