"","MGI.symbol","Symbol"
"1","Tagln","tagln2"
"2","Ndufs7","ndufs7"
"3","Casp3","casp3a"
"4","Wdr66","wdr66"
"5","Cnksr2","cnksr2b"
"6","2610507B11Rik","si:ch211-259g3.4"
"7","Zc3h10","zc3h10"
"8","Fgd5","fgd5b"
"9","Tbx19","tbx19"
"10","Drap1","drap1"
"11","B4galt7","b4galt7"
"12","Smim22","si:ch1073-443f11.2"
"13","Hmgcl","hmgcl"
"14","Irf2","irf2"
"15","Sez6l","sez6l"
"16","Ammecr1","ammecr1"
"17","Hpgd","hpgd"
"18","AI837181","zgc:63470"
"19","Lect2","si:ch211-132p1.3"
"20","Nfatc4","nfatc4"
"21","Wdr46","wdr46"
"22","Slc35a1","slc35a1"
"23","Hsf4","hsf4"
"24","Brd7","brd7"
"25","Pik3ca","pik3ca"
"26","Cadm3","cadm3"
"27","Slc30a6","slc30a6"
"28","Sugt1","sugt1"
"29","Ptchd1","ptchd1"
"30","Gm45928","si:dkey-28b4.7"
"31","Lrfn1","lrfn1"
"32","Map1a","map1ab"
"33","Adgrd1","adgrd1"
"34","Nfxl1","nfxl1"
"35","Galk1","galk1"
"36","Tspan18","tspan18b"
"37","Vmo1","vmo1b"
"38","Soga3","soga3a"
"39","Cuedc2","cuedc2"
"40","Cdc73","cdc73"
"41","Exoc2","exoc2"
"42","Cd22","si:ch211-1f22.10"
"43","Cd22","si:ch211-1f22.11"
"44","Slc16a4","slc16a4"
"45","Naglu","naglu"
"46","Fgfr1op2","fgfr1op2"
"47","Ints14","ints14"
"48","Hectd2","hectd2"
"49","Vav3","vav3a"
"50","Mei4","mei4"
"51","Surf6","surf6"
"52","Nt5c3","nt5c3a"
"53","Pigo","pigo"
"54","Dnajc11","dnajc11a"
"55","Wt1","wt1a"
"56","Otud6b","otud6b"
"57","Zfp653","znf653"
"58","Cdh24","cdh24b"
"59","Vamp8","vamp8"
"60","Nsd1","si:dkey-285e18.2"
"61","Pdzd8","pdzd8"
"62","Rxrb","rxrba"
"63","Pex13","pex13"
"64","Tbc1d16","tbc1d16"
"65","Camk1g","camk1gb"
"66","Cbx5","cbx5"
"67","Ndufa4","ndufa4l"
