source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
APOE+ FIB,APOE+ FIB,FGF7,FGFR1,0.006276293379386686,0.0,FGF7_FGFR1,FGF7 - FGFR1,FGF,Secreted Signaling,PMC: 4393358
APOE+ FIB,FBN1+ FIB,FGF7,FGFR1,0.009362611462177496,0.0,FGF7_FGFR1,FGF7 - FGFR1,FGF,Secreted Signaling,PMC: 4393358
APOE+ FIB,COL11A1+ FIB,FGF7,FGFR1,0.0073860330912081315,0.0,FGF7_FGFR1,FGF7 - FGFR1,FGF,Secreted Signaling,PMC: 4393358
APOE+ FIB,Inflam. FIB,FGF7,FGFR1,0.008251458464155589,0.0,FGF7_FGFR1,FGF7 - FGFR1,FGF,Secreted Signaling,PMC: 4393358
FBN1+ FIB,APOE+ FIB,FGF7,FGFR1,0.004854737515847603,0.0,FGF7_FGFR1,FGF7 - FGFR1,FGF,Secreted Signaling,PMC: 4393358
FBN1+ FIB,FBN1+ FIB,FGF7,FGFR1,0.007247114655375129,0.0,FGF7_FGFR1,FGF7 - FGFR1,FGF,Secreted Signaling,PMC: 4393358
FBN1+ FIB,COL11A1+ FIB,FGF7,FGFR1,0.005714570969373696,0.0,FGF7_FGFR1,FGF7 - FGFR1,FGF,Secreted Signaling,PMC: 4393358
FBN1+ FIB,Inflam. FIB,FGF7,FGFR1,0.0063854101114626674,0.0,FGF7_FGFR1,FGF7 - FGFR1,FGF,Secreted Signaling,PMC: 4393358
COL11A1+ FIB,APOE+ FIB,FGF7,FGFR1,0.003575889061258073,0.0,FGF7_FGFR1,FGF7 - FGFR1,FGF,Secreted Signaling,PMC: 4393358
COL11A1+ FIB,FBN1+ FIB,FGF7,FGFR1,0.005341442197029117,0.0,FGF7_FGFR1,FGF7 - FGFR1,FGF,Secreted Signaling,PMC: 4393358
COL11A1+ FIB,COL11A1+ FIB,FGF7,FGFR1,0.004210181052677267,0.0,FGF7_FGFR1,FGF7 - FGFR1,FGF,Secreted Signaling,PMC: 4393358
COL11A1+ FIB,Inflam. FIB,FGF7,FGFR1,0.004705254105772193,0.0,FGF7_FGFR1,FGF7 - FGFR1,FGF,Secreted Signaling,PMC: 4393358
LC,LC,VEGFA,FLT1,0.00235482345702225,0.0,VEGFA_VEGFR1,VEGFA - VEGFR1,VEGF,Secreted Signaling,KEGG: hsa04370; PMID: 16633338
Inflam. FIB,Inflam. DC,CCL19,CCR7,0.05204446219623319,0.0,CCL19_CCR7,CCL19 - CCR7,CCL,Secreted Signaling,KEGG: hsa04060
APOE+ FIB,cDC2,CXCL12,CXCR4,0.021125356773015087,0.0,CXCL12_CXCR4,CXCL12 - CXCR4,CXCL,Secreted Signaling,KEGG: hsa04060
APOE+ FIB,LC,CXCL12,CXCR4,0.12117878204621134,0.0,CXCL12_CXCR4,CXCL12 - CXCR4,CXCL,Secreted Signaling,KEGG: hsa04060
APOE+ FIB,Inflam. DC,CXCL12,CXCR4,0.0927369624457097,0.0,CXCL12_CXCR4,CXCL12 - CXCR4,CXCL,Secreted Signaling,KEGG: hsa04060
APOE+ FIB,CD40LG+ TC,CXCL12,CXCR4,0.04941751743493797,0.0,CXCL12_CXCR4,CXCL12 - CXCR4,CXCL,Secreted Signaling,KEGG: hsa04060
FBN1+ FIB,cDC2,CXCL12,CXCR4,0.014659804465674213,0.0,CXCL12_CXCR4,CXCL12 - CXCR4,CXCL,Secreted Signaling,KEGG: hsa04060
FBN1+ FIB,LC,CXCL12,CXCR4,0.08680679559558992,0.0,CXCL12_CXCR4,CXCL12 - CXCR4,CXCL,Secreted Signaling,KEGG: hsa04060
FBN1+ FIB,Inflam. DC,CXCL12,CXCR4,0.06582811879774743,0.0,CXCL12_CXCR4,CXCL12 - CXCR4,CXCL,Secreted Signaling,KEGG: hsa04060
FBN1+ FIB,CD40LG+ TC,CXCL12,CXCR4,0.03459902457474177,0.0,CXCL12_CXCR4,CXCL12 - CXCR4,CXCL,Secreted Signaling,KEGG: hsa04060
Inflam. FIB,cDC2,CXCL12,CXCR4,0.006253714026119109,0.0,CXCL12_CXCR4,CXCL12 - CXCR4,CXCL,Secreted Signaling,KEGG: hsa04060
Inflam. FIB,LC,CXCL12,CXCR4,0.03865373100629173,0.0,CXCL12_CXCR4,CXCL12 - CXCR4,CXCL,Secreted Signaling,KEGG: hsa04060
Inflam. FIB,Inflam. DC,CXCL12,CXCR4,0.0289434111449669,0.0,CXCL12_CXCR4,CXCL12 - CXCR4,CXCL,Secreted Signaling,KEGG: hsa04060
Inflam. FIB,CD40LG+ TC,CXCL12,CXCR4,0.014932842439294698,0.0,CXCL12_CXCR4,CXCL12 - CXCR4,CXCL,Secreted Signaling,KEGG: hsa04060
APOE+ FIB,FBN1+ FIB,CXCL12,ACKR3,0.0376164125587348,0.0,CXCL12_ACKR3,CXCL12 - ACKR3,CXCL,Secreted Signaling,KEGG: hsa04060
FBN1+ FIB,FBN1+ FIB,CXCL12,ACKR3,0.026238956979092145,0.0,CXCL12_ACKR3,CXCL12 - ACKR3,CXCL,Secreted Signaling,KEGG: hsa04060
Inflam. FIB,FBN1+ FIB,CXCL12,ACKR3,0.011269191511361633,0.0,CXCL12_ACKR3,CXCL12 - ACKR3,CXCL,Secreted Signaling,KEGG: hsa04060
APOE+ FIB,cDC2,MIF,CD74_CXCR4,0.060697559305719344,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
APOE+ FIB,LC,MIF,CD74_CXCR4,0.14242454908112256,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
APOE+ FIB,Inflam. DC,MIF,CD74_CXCR4,0.12331931245663945,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
APOE+ FIB,CD40LG+ TC,MIF,CD74_CXCR4,0.030976466512847908,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
FBN1+ FIB,cDC2,MIF,CD74_CXCR4,0.058573267118942535,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
FBN1+ FIB,LC,MIF,CD74_CXCR4,0.13785977531201346,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
FBN1+ FIB,Inflam. DC,MIF,CD74_CXCR4,0.11928170017956909,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
FBN1+ FIB,CD40LG+ TC,MIF,CD74_CXCR4,0.02985928663641483,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
COL11A1+ FIB,cDC2,MIF,CD74_CXCR4,0.028192505816916135,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
COL11A1+ FIB,LC,MIF,CD74_CXCR4,0.0693856878113074,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
COL11A1+ FIB,Inflam. DC,MIF,CD74_CXCR4,0.059399465100790874,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
COL11A1+ FIB,CD40LG+ TC,MIF,CD74_CXCR4,0.014148060383142475,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
Inflam. FIB,cDC2,MIF,CD74_CXCR4,0.07072736167325998,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
Inflam. FIB,LC,MIF,CD74_CXCR4,0.1636068587811285,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
Inflam. FIB,Inflam. DC,MIF,CD74_CXCR4,0.14213109791432352,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
Inflam. FIB,CD40LG+ TC,MIF,CD74_CXCR4,0.03628480466505572,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
cDC1,cDC2,MIF,CD74_CXCR4,0.07815202737379892,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
cDC1,LC,MIF,CD74_CXCR4,0.17890452934120385,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
cDC1,Inflam. DC,MIF,CD74_CXCR4,0.155794765651259,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
cDC1,CD40LG+ TC,MIF,CD74_CXCR4,0.04025044069776817,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
cDC2,cDC2,MIF,CD74_CXCR4,0.0845514051360684,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
cDC2,LC,MIF,CD74_CXCR4,0.19183706840855852,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
cDC2,Inflam. DC,MIF,CD74_CXCR4,0.16739733559873404,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
cDC2,CD40LG+ TC,MIF,CD74_CXCR4,0.043693395579786284,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
LC,cDC2,MIF,CD74_CXCR4,0.09341528176827138,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
LC,LC,MIF,CD74_CXCR4,0.2093757577271653,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
LC,Inflam. DC,MIF,CD74_CXCR4,0.18320815627154635,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
LC,CD40LG+ TC,MIF,CD74_CXCR4,0.0485008886077669,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
Inflam. DC,cDC2,MIF,CD74_CXCR4,0.06086557734869942,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
Inflam. DC,LC,MIF,CD74_CXCR4,0.14278440765098746,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
Inflam. DC,Inflam. DC,MIF,CD74_CXCR4,0.12363785807623068,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
Inflam. DC,CD40LG+ TC,MIF,CD74_CXCR4,0.03106493395773053,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
TC,cDC2,MIF,CD74_CXCR4,0.08020333133983455,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
TC,LC,MIF,CD74_CXCR4,0.1830751566056403,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
TC,Inflam. DC,MIF,CD74_CXCR4,0.15953132883610693,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
TC,CD40LG+ TC,MIF,CD74_CXCR4,0.041351543722669415,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
Inflam. TC,cDC2,MIF,CD74_CXCR4,0.09649589364641611,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
Inflam. TC,LC,MIF,CD74_CXCR4,0.21537199935927076,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
Inflam. TC,Inflam. DC,MIF,CD74_CXCR4,0.18863379218343465,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
Inflam. TC,CD40LG+ TC,MIF,CD74_CXCR4,0.05018231891898317,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
CD40LG+ TC,cDC2,MIF,CD74_CXCR4,0.07978535942658431,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
CD40LG+ TC,LC,MIF,CD74_CXCR4,0.18222728990125453,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
CD40LG+ TC,Inflam. DC,MIF,CD74_CXCR4,0.15877130780056423,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
CD40LG+ TC,CD40LG+ TC,MIF,CD74_CXCR4,0.041126990974700246,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
NKT,cDC2,MIF,CD74_CXCR4,0.07757558626883689,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
