source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
APOE+ FIB,APOE+ FIB,FGF7,FGFR1,0.008342061839887012,0.0,FGF7_FGFR1,FGF7 - FGFR1,FGF,Secreted Signaling,PMC: 4393358
APOE+ FIB,FBN1+ FIB,FGF7,FGFR1,0.00971776059540541,0.0,FGF7_FGFR1,FGF7 - FGFR1,FGF,Secreted Signaling,PMC: 4393358
APOE+ FIB,COL11A1+ FIB,FGF7,FGFR1,0.00880973698971995,0.0,FGF7_FGFR1,FGF7 - FGFR1,FGF,Secreted Signaling,PMC: 4393358
APOE+ FIB,Inflam. FIB,FGF7,FGFR1,0.005715745596812554,0.0,FGF7_FGFR1,FGF7 - FGFR1,FGF,Secreted Signaling,PMC: 4393358
Inflam. FIB,APOE+ FIB,FGF7,FGFR1,0.007824533323549245,0.0,FGF7_FGFR1,FGF7 - FGFR1,FGF,Secreted Signaling,PMC: 4393358
Inflam. FIB,FBN1+ FIB,FGF7,FGFR1,0.009115670404665507,0.0,FGF7_FGFR1,FGF7 - FGFR1,FGF,Secreted Signaling,PMC: 4393358
Inflam. FIB,COL11A1+ FIB,FGF7,FGFR1,0.008263436406776539,0.01,FGF7_FGFR1,FGF7 - FGFR1,FGF,Secreted Signaling,PMC: 4393358
LC,APOE+ FIB,PDGFB,PDGFRA,0.011053532639278635,0.0,PDGFB_PDGFRA,PDGFB - PDGFRA,PDGF,Secreted Signaling,PMID: 15207812
LC,FBN1+ FIB,PDGFB,PDGFRA,0.006370596490786249,0.0,PDGFB_PDGFRA,PDGFB - PDGFRA,PDGF,Secreted Signaling,PMID: 15207812
LC,APOE+ FIB,PDGFB,PDGFRB,0.012925349400812473,0.0,PDGFB_PDGFRB,PDGFB - PDGFRB,PDGF,Secreted Signaling,PMID: 15207812
LC,FBN1+ FIB,PDGFB,PDGFRB,0.008812185104873737,0.0,PDGFB_PDGFRB,PDGFB - PDGFRB,PDGF,Secreted Signaling,PMID: 15207812
LC,Inflam. FIB,PDGFB,PDGFRB,0.004467817023513025,0.0,PDGFB_PDGFRB,PDGFB - PDGFRB,PDGF,Secreted Signaling,PMID: 15207812
LC,LC,VEGFA,FLT1,0.0045455108774537945,0.0,VEGFA_VEGFR1,VEGFA - VEGFR1,VEGF,Secreted Signaling,KEGG: hsa04370; PMID: 16633338
APOE+ FIB,LC,CXCL12,CXCR4,0.14523912804673228,0.0,CXCL12_CXCR4,CXCL12 - CXCR4,CXCL,Secreted Signaling,KEGG: hsa04060
APOE+ FIB,CD40LG+ TC,CXCL12,CXCR4,0.06664050161759452,0.0,CXCL12_CXCR4,CXCL12 - CXCR4,CXCL,Secreted Signaling,KEGG: hsa04060
FBN1+ FIB,LC,CXCL12,CXCR4,0.03546480734373093,0.0,CXCL12_CXCR4,CXCL12 - CXCR4,CXCL,Secreted Signaling,KEGG: hsa04060
FBN1+ FIB,CD40LG+ TC,CXCL12,CXCR4,0.015214975898946614,0.0,CXCL12_CXCR4,CXCL12 - CXCR4,CXCL,Secreted Signaling,KEGG: hsa04060
Inflam. FIB,LC,CXCL12,CXCR4,0.14287713031330973,0.0,CXCL12_CXCR4,CXCL12 - CXCR4,CXCL,Secreted Signaling,KEGG: hsa04060
Inflam. FIB,CD40LG+ TC,CXCL12,CXCR4,0.06545885001834145,0.0,CXCL12_CXCR4,CXCL12 - CXCR4,CXCL,Secreted Signaling,KEGG: hsa04060
