source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
ENDO,FIB-A,Tgfb1,TGFbR1_R2,0.0026977779200915513,0.0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
ENDO,FIB-P,Tgfb1,TGFbR1_R2,0.0020074892630422853,0.0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
ENDO,MELA,Tgfb1,TGFbR1_R2,0.0052699950590119875,0.0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Immune,FIB-A,Tgfb1,TGFbR1_R2,0.0043552520357681,0.0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Immune,FIB-P,Tgfb1,TGFbR1_R2,0.0032434842401845203,0.0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Immune,MELA,Tgfb1,TGFbR1_R2,0.00851702330282872,0.0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
MYL,FIB-A,Tgfb1,TGFbR1_R2,0.004277610217269853,0.0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
MYL,FIB-P,Tgfb1,TGFbR1_R2,0.003185292914335827,0.0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
MYL,MELA,Tgfb1,TGFbR1_R2,0.008363890910674564,0.0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Pericyte,FIB-A,Tgfb1,TGFbR1_R2,0.00036726212859427264,0.0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Pericyte,FIB-P,Tgfb1,TGFbR1_R2,0.0002730069519562565,0.0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
