source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
SM,SM,TGFB1,TGFbR1_R2,0.00023000184829092632,0.0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
EG,SM,TGFB1,TGFbR1_R2,0.00015735435129229399,0.03,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
EG,Keratinocyte,TGFB1,TGFbR1_R2,0.00041329413171019134,0.0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
SM,SM,ANGPTL4,CDH5,0.0010884129467141237,0.0,ANGPTL4_CDH5,ANGPTL4 - CDH5,ANGPTL,Secreted Signaling,PMID: 30049845
EG,ENDO,ANGPTL4,CDH5,0.0007792622771355304,0.0,ANGPTL4_CDH5,ANGPTL4 - CDH5,ANGPTL,Secreted Signaling,PMID: 30049845
EG,SM,ANGPTL4,CDH5,0.0006915722074567153,0.01,ANGPTL4_CDH5,ANGPTL4 - CDH5,ANGPTL,Secreted Signaling,PMID: 30049845
FIB,SM,ANGPTL4,ITGA5_ITGB1,0.0007399879783792243,0.02,ANGPTL4_ITGA5_ITGB1,ANGPTL4 - (ITGA5+ITGB1),ANGPTL,Secreted Signaling,PMID: 30049845
SM,SM,ANGPTL4,ITGA5_ITGB1,0.001164328450933784,0.0,ANGPTL4_ITGA5_ITGB1,ANGPTL4 - (ITGA5+ITGB1),ANGPTL,Secreted Signaling,PMID: 30049845
EG,SM,ANGPTL4,ITGA5_ITGB1,0.0009596831110495525,0.0,ANGPTL4_ITGA5_ITGB1,ANGPTL4 - (ITGA5+ITGB1),ANGPTL,Secreted Signaling,PMID: 30049845
FIB,FIB,ANGPTL1,LILRB3,0.0020671709703455068,0.0,ANGPTL1_PIRB,ANGPTL1 - PIRB,ANGPTL,Secreted Signaling,PMID: 24478758
FIB,SM,ANGPTL1,LILRB3,0.0013402994404658893,0.0,ANGPTL1_PIRB,ANGPTL1 - PIRB,ANGPTL,Secreted Signaling,PMID: 24478758
SM,FIB,ANGPTL1,LILRB3,0.0012289430722384547,0.01,ANGPTL1_PIRB,ANGPTL1 - PIRB,ANGPTL,Secreted Signaling,PMID: 24478758
ENDO,SM,ANGPTL2,LILRB3,0.0010108962253047432,0.02,ANGPTL2_PIRB,ANGPTL2 - PIRB,ANGPTL,Secreted Signaling,PMID: 24478758
SM,FIB,ANGPTL2,LILRB3,0.0009805059431498282,0.03,ANGPTL2_PIRB,ANGPTL2 - PIRB,ANGPTL,Secreted Signaling,PMID: 24478758
SM,SM,ANGPTL2,LILRB3,0.001772220165692715,0.0,ANGPTL2_PIRB,ANGPTL2 - PIRB,ANGPTL,Secreted Signaling,PMID: 24478758
EG,SM,ANGPTL2,LILRB3,0.001105044061792152,0.0,ANGPTL2_PIRB,ANGPTL2 - PIRB,ANGPTL,Secreted Signaling,PMID: 24478758
SM,FIB,ANGPTL2,TLR4,0.0004796429733989158,0.03,ANGPTL2_TLR4,ANGPTL2 - TLR4,ANGPTL,Secreted Signaling,PMID: 24478758
SM,SM,ANGPTL2,TLR4,0.0013059565020074135,0.0,ANGPTL2_TLR4,ANGPTL2 - TLR4,ANGPTL,Secreted Signaling,PMID: 24478758
SM,EG,ANGPTL2,TLR4,0.0006406253733460028,0.0,ANGPTL2_TLR4,ANGPTL2 - TLR4,ANGPTL,Secreted Signaling,PMID: 24478758
SM,SM,ANGPTL4,CDH11,0.0010831449552747947,0.0,ANGPTL4_CDH11,ANGPTL4 - CDH11,ANGPTL,Secreted Signaling,PMID: 30049845
EG,SM,ANGPTL4,CDH11,0.0007542832615655703,0.0,ANGPTL4_CDH11,ANGPTL4 - CDH11,ANGPTL,Secreted Signaling,PMID: 30049845
SM,SM,ANGPTL2,ITGA5_ITGB1,0.0017580676394843067,0.0,ANGPTL2_ITGA5_ITGB1,ANGPTL2 - (ITGA5+ITGB1),ANGPTL,Secreted Signaling,PMID: 24478758
EG,SM,ANGPTL2,ITGA5_ITGB1,0.0010716027585997469,0.0,ANGPTL2_ITGA5_ITGB1,ANGPTL2 - (ITGA5+ITGB1),ANGPTL,Secreted Signaling,PMID: 24478758
