source,target,pathway_name,prob,pval
FIB,FIB,COLLAGEN,0.009303495192020114,0.0
FIB,ENDO,COLLAGEN,0.005486275220030562,0.0
FIB,SM,COLLAGEN,0.017355209539792617,0.0
FIB,EG,COLLAGEN,0.0841292876410982,0.0
FIB,Keratinocyte,COLLAGEN,0.03742454092708647,0.0
FIB,Immune,COLLAGEN,0.0006584992763587617,0.0
ENDO,FIB,COLLAGEN,0.008136544288835753,0.0
ENDO,ENDO,COLLAGEN,0.007686871912037627,0.0
ENDO,SM,COLLAGEN,0.008805839651705501,0.0
ENDO,EG,COLLAGEN,0.0030843384145131146,0.0
ENDO,Keratinocyte,COLLAGEN,0.0015621239620307091,0.0
SM,FIB,COLLAGEN,0.008176072632455662,0.0
SM,ENDO,COLLAGEN,0.006171426038351086,0.0
SM,SM,COLLAGEN,0.11740591563436995,0.0
SM,EG,COLLAGEN,0.05027514997742998,0.0
SM,Keratinocyte,COLLAGEN,0.0008312680459201179,0.0
EG,FIB,COLLAGEN,0.011078749967874455,0.0
EG,ENDO,COLLAGEN,0.0463827730321457,0.0
EG,SM,COLLAGEN,0.027152444927425176,0.0
EG,EG,COLLAGEN,0.18505960252299797,0.0
EG,Keratinocyte,COLLAGEN,0.001226211549797504,0.0
EG,Immune,COLLAGEN,0.003863790025893122,0.0
Keratinocyte,EG,COLLAGEN,0.0016920173953285382,0.0
Keratinocyte,Immune,COLLAGEN,0.00013871288674148854,0.0
Immune,ENDO,COLLAGEN,0.0006897006280885258,0.0
Immune,EG,COLLAGEN,0.005043043621795913,0.0
Immune,Keratinocyte,COLLAGEN,0.02581237213993821,0.0
Immune,Immune,COLLAGEN,0.000203414494593131,0.0
FIB,FIB,LAMININ,0.0067587139877996775,0.0
FIB,ENDO,LAMININ,0.01287303631569484,0.0
FIB,SM,LAMININ,0.011671163807436416,0.0
FIB,EG,LAMININ,0.011534540051460707,0.0
FIB,Keratinocyte,LAMININ,0.009960370854367092,0.0
ENDO,FIB,LAMININ,0.0014770178283956368,0.0
ENDO,ENDO,LAMININ,0.002974403352058638,0.0
ENDO,SM,LAMININ,0.004386743245818897,0.0
ENDO,EG,LAMININ,0.004512319112338917,0.0
ENDO,Keratinocyte,LAMININ,0.006698706936154854,0.0
SM,FIB,LAMININ,0.0016680330132654664,0.0
SM,ENDO,LAMININ,0.01209286570923061,0.0
SM,SM,LAMININ,0.10185805782444382,0.0
SM,EG,LAMININ,0.044295811615351004,0.0
SM,Keratinocyte,LAMININ,0.0015137933800625416,0.0
EG,FIB,LAMININ,0.008220045284793134,0.0
EG,ENDO,LAMININ,0.026474176262767633,0.0
EG,SM,LAMININ,0.029265777497294584,0.0
EG,EG,LAMININ,0.09913092856379097,0.0
EG,Keratinocyte,LAMININ,0.012685332353611592,0.0
EG,Immune,LAMININ,0.0070390114833386525,0.0
Keratinocyte,SM,LAMININ,0.005106845482340715,0.0
Keratinocyte,EG,LAMININ,0.003846132111465267,0.0
Immune,ENDO,LAMININ,0.004416070252788711,0.0
Immune,SM,LAMININ,0.002392249086582244,0.0
Immune,EG,LAMININ,0.010496469830666781,0.0
Immune,Keratinocyte,LAMININ,0.0015918913755998076,0.0
FIB,SM,THBS,0.0006147546675989323,0.0
FIB,EG,THBS,0.015885178102666778,0.0
FIB,Keratinocyte,THBS,0.0047003020481041075,0.0
ENDO,FIB,THBS,0.0007521735838377594,0.0
ENDO,SM,THBS,0.000583916970087857,0.0
ENDO,EG,THBS,0.002473105185840532,0.0
SM,FIB,THBS,0.0011890437975189344,0.0
SM,SM,THBS,0.006341861126645897,0.0
SM,EG,THBS,0.013769486084980624,0.0
EG,FIB,THBS,0.004732526689599354,0.0
EG,SM,THBS,0.006749988912333696,0.0
EG,EG,THBS,0.0409024583250462,0.0
EG,Keratinocyte,THBS,0.0022808466664086453,0.0
EG,Immune,THBS,0.0014872009237764565,0.0
Keratinocyte,Keratinocyte,THBS,0.008403300207567065,0.0
Immune,Keratinocyte,THBS,0.009092679456400623,0.0
FIB,FIB,ncWNT,0.0026581166738129823,0.0
FIB,ENDO,ncWNT,0.009893759314360777,0.0
FIB,SM,ncWNT,0.0011646879827650087,0.0
FIB,EG,ncWNT,0.003089010256087456,0.0
ENDO,FIB,ncWNT,0.0003253203232170586,0.0
ENDO,ENDO,ncWNT,0.0004458979181527073,0.0
SM,FIB,ncWNT,0.0021042504042834546,0.0
SM,ENDO,ncWNT,0.0015782248160796425,0.0
SM,SM,ncWNT,0.023695858371232247,0.0
SM,EG,ncWNT,0.0035393807692004316,0.0
SM,Immune,ncWNT,0.0013538342917704944,0.0
EG,FIB,ncWNT,0.0010825134735462098,0.0
EG,ENDO,ncWNT,0.00652423474548266,0.0
