signaling,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
TGFB1_TGFBR1_TGFBR2,0.0014359634764263935,0.00013908716434944663,0.0,0.0,0.0,9.837783958217333e-05,0.0011321354783702903,0.0011984406582669941,0.0,0.0,0.006425588227354919,0.0
ANGPTL4_CDH5,0.011391629402068294,0.010405102270498985,0.0,0.011870858327493681,0.0017561902828429204,0.002934695363433149,0.0013206508472728585,0.0007790442798838433,0.0,0.0,0.01577592988008083,0.011843437573781493
ANGPTL4_ITGAV_ITGB3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANGPTL4_ITGA5_ITGB1,0.0,0.01353233375607056,0.0,0.0,0.014196052937155642,0.005378562931903461,0.00942485416627454,0.0,0.0,0.018326741408249102,0.033232984154936515,0.0
ANGPTL7_PIRB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANGPTL1_PIRB,0.0015046512125728992,0.0,0.0,2.5790743874202933e-05,0.00021117254799479833,0.0,0.0,0.0,0.0,0.0,0.0008951419687331136,0.0
ANGPTL2_PIRB,0.0019460288540781385,0.0,0.0,0.0,0.0015571476013596876,0.0,0.0,0.0,0.0,0.00015617459085137014,0.005266132699542811,0.0
ANGPTL2_TLR4,0.02463419255384158,0.0,0.0,0.0,0.003147729063244298,0.001282839750219497,0.0,0.013117670075332283,0.0,0.02586235685162314,0.01042212738743632,0.0
ANGPTL4_CDH11,0.009152440026946186,0.0028820731060872143,0.004370073335067408,0.0087820930584985,0.0,0.008509771420117041,0.0032786594649040035,0.0,0.004936262826744857,0.004693551112097314,0.03110620752651904,0.024304652751172197
ANGPTL2_ITGA5_ITGB1,0.0,0.024471845209704437,0.0,0.0,0.047297128709896,0.005717958139325268,0.007156766020117123,0.004400401099269476,0.0,0.11707144422350196,0.0,0.009758514357984253
NAMPT_ITGA5_ITGB1,0.0,0.021156891448334932,0.0,0.0,0.020077049440651893,0.007556208292713142,0.011745525099456809,0.0009574238759161465,0.0,0.04078392872238909,0.0381873846668816,0.0
RETN_CAP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIPOQ_ADIPOR2,0.002904377166527173,0.0,0.00848079244257591,4.698575057932397e-05,0.004038845095691721,0.0,0.0,0.004974183104353669,0.003065623692883073,0.0024740394882372648,0.00010258970561502462,0.004831121146077275
ADIPOQ_ADIPOR1,0.0043314948057765505,0.0,0.006682757185954233,0.0,0.0,0.0,0.0,0.0037306256774542077,0.004610627074958309,0.006113603532781681,0.0037975470006033738,0.001604965109007613
SPP1_ITGA5_ITGB1,0.00043268540368452025,0.0002249245007983008,0.0005140078968234954,0.0,0.004959983929420936,0.0,0.0,0.0,0.0,0.003679895771632849,0.0,0.0
SPP1_ITGA8_ITGB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANGPTL1_ITGA1_ITGB1,0.0,0.0,0.0,0.0,0.027570520178610017,0.0,0.0,0.0,0.0004787164199892697,0.0006651430535278372,0.0,0.0027000252995708664
SPP1_ITGA9_ITGB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANGPTL4_SDC1,0.0,0.0,0.0,0.12136121157645094,0.0,0.0,0.02310194470091776,0.0,0.016658246312830537,0.0,0.06778273184700377,0.0
ANGPTL4_SDC3,0.0,0.0070341653839348,0.0,0.0011805830417131236,0.0,0.004022351860826264,0.007199098763378371,0.0,0.01072140807964997,0.009322698244130968,0.018203930961867988,0.008036950628421476
PTN_SDC1,0.0,0.0,0.0,0.09543388229217648,0.0,0.0016234299990174833,0.039203987795629114,0.0,0.016312939607731773,0.0,0.09311290734671479,0.0
PTN_PTPRZ1,0.0,0.0,0.0,0.008729500062306297,0.0,0.0,0.011526418180896243,0.0,0.002115239770365966,0.0,0.015007955199486648,0.0
