features,observed,expected,z_score,pvalues,pvalues_adj,n_spots
COL1A2,0.7627760348570056,-0.0011061946902654867,39.59756467683165,0.0,0.0,903
COL1A1,0.6140767977582291,-0.0011061946902654867,31.889761971293943,1.8511590834405485e-223,6.821521222478421e-221,873
COL6A2,0.5588951584597863,-0.0011061946902654867,29.019887709569137,1.8463247245317186e-185,4.535804406599588e-183,835
DCN,0.5332761736403344,-0.0011061946902654867,27.689648607953192,4.6518429888776635e-169,8.571020707007096e-167,808
SAA1,0.5016327516794442,-0.0011061946902654867,26.067450853112245,4.265991872873278e-150,6.288072020615212e-148,400
COL3A1,0.4839406329841362,-0.0011061946902654867,25.136675974278244,9.883142815334273e-140,1.2139793758168932e-137,807
IGFBP4,0.4652244674458951,-0.0011061946902654867,24.15863217770177,3.029617123089096e-129,2.7910347746458297e-127,759
CCL21,0.4638856101253528,-0.0011061946902654867,24.162889633900548,2.7329927473254713e-129,2.7910347746458297e-127,262
SPARC,0.46127818093681877,-0.0011061946902654867,23.968184956340142,2.9860835824002286e-127,2.2154837198463502e-125,846
CCL19,0.460781808631762,-0.0011061946902654867,23.967906923667414,3.0060837447033246e-127,2.2154837198463502e-125,316
CXCL12,0.44410482598607354,-0.0011061946902654867,23.0623111192439,5.534129193348729e-118,3.7078665595436485e-116,681
CD74,0.4408306650163943,-0.0011061946902654867,22.902935855721275,2.1717522463482132e-116,1.3338178379655276e-114,796
C3,0.4220925608535641,-0.0011061946902654867,21.925464660254107,7.425707181334997e-107,4.209804763572225e-105,540
FGFR3,0.415533271435538,-0.0011061946902654867,21.58633128271084,1.2071738299297795e-103,6.354907947558911e-102,390
COMP,0.39907605309028815,-0.0011061946902654867,20.731701554465733,8.966796282939523e-96,4.4056859070176187e-94,569
DSC3,0.3986078718998661,-0.0011061946902654867,20.70504207140454,1.559811954124039e-95,7.184883813683854e-94,610
HLA-DRB1,0.38801602766885745,-0.0011061946902654867,20.15894133423725,1.1231848579833924e-90,4.869336707845648e-89,685
COL6A1,0.38180460309564923,-0.0011061946902654867,19.84011511185343,6.70756102363262e-88,2.746373596898467e-86,770
IL36RN,0.37799938191877563,-0.0011061946902654867,19.679324300937196,1.6214855866424133e-86,6.289657249239256e-85,258
IGFBP5,0.3772879855116829,-0.0011061946902654867,19.6040225463349,7.143546684222495e-86,2.63239695313599e-84,583
KLK7,0.37201517974119874,-0.0011061946902654867,19.336814919945457,1.316202899751025e-83,4.619245414840502e-82,423
IL36G,0.3669040872494151,-0.0011061946902654867,19.113442992939277,9.757896420225243e-82,3.268895300775456e-80,248
THY1,0.36177813087101857,-0.0011061946902654867,18.798570081922648,3.87898849841178e-79,1.2429628362302097e-77,628
SFRP1,0.3611175187826728,-0.0011061946902654867,18.785639688545576,4.949308970724141e-79,1.5198502964265384e-77,305
