"","EntryID.uniprot","Symbol","Synonym","Reviewed","EntryName","ProteinName","Keywords","Location","AntibodyName"
"1","Q19LI2","A1bg",NA,"reviewed","A1BG_MOUSE","Alpha-1B-glycoprotein (Alpha-1-B glycoprotein)","Disulfide bond;Glycoprotein;Immunoglobulin domain;Reference proteome;Repeat;Secreted;Signal","SUBCELLULAR LOCATION: Secreted {ECO:0000250}.",NA
"2","Q5YD48","A1cf","Acf Asp","reviewed","A1CF_MOUSE","APOBEC1 complementation factor (APOBEC1-stimulating protein)","Alternative splicing;Cytoplasm;Endoplasmic reticulum;mRNA processing;Nucleus;Reference proteome;Repeat;RNA-binding","SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Endoplasmic reticulum {ECO:0000250}. Cytoplasm {ECO:0000250}. Note=Predominantly nuclear where it localizes to heterochromatin. Also cytoplasmic where it is found at the outer surface of the endoplasmic reticulum. Shuttles between the nucleus and cytoplasm. May be transported into the nucleus by the nuclear import protein TNPO2/TRN2 or by APOBEC1 (By similarity). {ECO:0000250}.",NA
"3","Q6GQT1","A2m","A2mp","reviewed","A2MG_MOUSE","Alpha-2-macroglobulin-P (Alpha-2-macroglobulin)","Bait region;Disulfide bond;Glycoprotein;Pregnancy;Protease inhibitor;Reference proteome;Secreted;Serine protease inhibitor;Signal;Thioester bond","SUBCELLULAR LOCATION: Secreted {ECO:0000250}.",NA
"4","Q3V1N9","A3galt2","Igb3s","reviewed","A3LT2_MOUSE","Alpha-1,3-galactosyltransferase 2 (EC 2.4.1.87) (Isoglobotriaosylceramide synthase) (iGb3 synthase) (iGb3S)","Alternative splicing;Glycoprotein;Glycosyltransferase;Golgi apparatus;Lipid metabolism;Manganese;Membrane;Metal-binding;Reference proteome;Signal-anchor;Transferase;Transmembrane;Transmembrane helix","SUBCELLULAR LOCATION: Golgi apparatus, Golgi stack membrane {ECO:0000250|UniProtKB:A0A4Z3}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:A0A4Z3}. Note=Also found in numerous large vesicles throughout the cytoplasm of the soma. {ECO:0000250|UniProtKB:A0A4Z3}.",NA
"5","Q67BJ4","A4galt",NA,"reviewed","A4GAT_MOUSE","Lactosylceramide 4-alpha-galactosyltransferase (EC 2.4.1.228) (Alpha-1,4-N-acetylglucosaminyltransferase) (Alpha-1,4-galactosyltransferase) (Alpha4Gal-T1) (Globotriaosylceramide synthase) (Gb3 synthase) (UDP-galactose:beta-D-galactosyl-beta1-R 4-alpha-D-galactosyltransferase)","Glycoprotein;Glycosyltransferase;Golgi apparatus;Lipid biosynthesis;Lipid metabolism;Membrane;Reference proteome;Signal-anchor;Transferase;Transmembrane;Transmembrane helix","SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.",NA
"6","Q14BT6","A4gnt",NA,"reviewed","A4GCT_MOUSE","Alpha-1,4-N-acetylglucosaminyltransferase (Alpha4GnT) (EC 2.4.1.-)","Glycoprotein;Glycosyltransferase;Golgi apparatus;Membrane;Reference proteome;Signal-anchor;Transferase;Transmembrane;Transmembrane helix","SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.",NA
"7","P58742","Aaas",NA,"reviewed","AAAS_MOUSE","Aladin (Adracalin)","Acetylation;Cytoplasm;Cytoskeleton;mRNA transport;Nuclear pore complex;Nucleus;Phosphoprotein;Protein transport;Reference proteome;Repeat;Translocation;Transport;WD repeat","SUBCELLULAR LOCATION: Nucleus, nuclear pore complex {ECO:0000250|UniProtKB:Q9NRG9}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000250|UniProtKB:Q9NRG9}. Nucleus envelope {ECO:0000250|UniProtKB:Q9NRG9}. Note=In metaphase cells localizes within the spindle with some accumulation around spindle poles, with the highest concentration between the centrosome and metaphase plate. The localization to the spindle is microtubule-mediated. {ECO:0000250|UniProtKB:Q9NRG9}.",NA
"8","Q9D2R0","Aacs",NA,"reviewed","AACS_MOUSE","Acetoacetyl-CoA synthetase (EC 6.2.1.16)","ATP-binding;Cytoplasm;Fatty acid metabolism;Ligase;Lipid metabolism;Nucleotide-binding;Reference proteome","SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q9JMI1}.",NA
"9","Q99PG0","Aadac","Aada","reviewed","AAAD_MOUSE","Arylacetamide deacetylase (EC 3.1.1.3)","Disulfide bond;Endoplasmic reticulum;Glycoprotein;Hydrolase;Lipid metabolism;Membrane;Microsome;Reference proteome;Signal-anchor;Transmembrane;Transmembrane helix","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:19654421}; Single-pass type II membrane protein {ECO:0000269|PubMed:19654421}. Microsome membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.",NA
"10","A2A7Z8","Aadacl3",NA,"reviewed","ADCL3_MOUSE","Arylacetamide deacetylase-like 3 (EC 3.1.1.-)","Glycoprotein;Hydrolase;Membrane;Reference proteome;Transmembrane;Transmembrane helix","SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.",NA
